sample, trial, current
1, TRUE, 51.7
1, TRUE, 54.3
1, TRUE, 62.4
1, TRUE, 52.7
1, TRUE, 53.7
1, TRUE, 58.9
1, TRUE, 54.7
1, TRUE, 60.4
2, TRUE, 52.1
2, TRUE, 52.1
2, TRUE, 54.9
2, TRUE, 60.3
2, TRUE, 60.9
2, TRUE, 52.5
2, TRUE, 58.3
2, TRUE, 56.6
3, TRUE, 56.8
3, TRUE, 62.8
3, TRUE, 52.5
3, TRUE, 55.5
3, TRUE, 55.5
3, TRUE, 57.2
3, TRUE, 62.5
3, TRUE, 52.1
4, TRUE, 53.3
4, TRUE, 52.2
4, TRUE, 52.9
4, TRUE, 57.4
4, TRUE, 56.2
4, TRUE, 52.2
4, TRUE, 57.3
4, TRUE, 55.3
5, TRUE, 65.9
5, TRUE, 56
5, TRUE, 55.9
5, TRUE, 53.2
5, TRUE, 55.4
5, TRUE, 58.7
5, TRUE, 52.5
5, TRUE, 54.8
6, TRUE, 52.1
6, TRUE, 55.5
6, TRUE, 58.8
6, TRUE, 52.4
6, TRUE, 52.4
6, TRUE, 52.2
6, TRUE, 74.8
6, TRUE, 59.5
7, TRUE, 52.7
7, TRUE, 52.7
7, TRUE, 51.8
7, TRUE, 54.2
7, TRUE, 59.5
7, TRUE, 51.7
7, TRUE, 52.9
7, TRUE, 51
8, TRUE, 53.5
8, TRUE, 59.9
8, TRUE, 51.9
8, TRUE, 51.2
8, TRUE, 52.3
8, TRUE, 55.5
8, TRUE, 58
8, TRUE, 79.2
9, TRUE, 51.2
9, TRUE, 50.4
9, TRUE, 50.5
9, TRUE, 61.9
9, TRUE, 85.4
9, TRUE, 50.8
9, TRUE, 53.8
9, TRUE, 57.1
10, TRUE, 60.9
10, TRUE, 56.6
10, TRUE, 52.4
10, TRUE, 78.6
10, TRUE, 58.9
10, TRUE, 61.6
10, TRUE, 51
10, TRUE, 51
11, TRUE, 52.4
11, TRUE, 54.8
11, TRUE, 54
11, TRUE, 51
11, TRUE, 50.3
11, TRUE, 50.7
11, TRUE, 51.2
11, TRUE, 59.5
12, TRUE, 50.2
12, TRUE, 51.9
12, TRUE, 52.5
12, TRUE, 52.7
12, TRUE, 58.6
12, TRUE, 50.3
12, TRUE, 82.1
12, TRUE, 54.7
13, TRUE, 51.5
13, TRUE, 57.1
13, TRUE, 51.8
13, TRUE, 54.2
13, TRUE, 52.1
13, TRUE, 88
13, TRUE, 58.5
13, TRUE, 50.3
14, TRUE, 52.2
14, TRUE, 52.5
14, TRUE, 51.3
14, TRUE, 57.6
14, TRUE, 50.8
14, TRUE, 51.5
14, TRUE, 50.7
14, TRUE, 52.3
15, TRUE, 64.5
15, TRUE, 51.3
15, TRUE, 52.8
15, TRUE, 56.8
15, TRUE, 54.5
15, TRUE, 108
15, TRUE, 58.4
15, TRUE, 60
